row_index,job_id,title,extracted_salary,currency,n_ranges_found,source,status
12893,JR10890,Assistant Unit Controller,137500.0,USD,1,range,filled
12904,96322459504,"Specialist, Material Management",,,0,,malformed_skipped
13061,JR2026513085,Experienced Structures Mechanic - B-52 (2400),78000.0,USD,1,hourly_annualized,filled
13077,95892345648,Systems Engineer,,,0,,malformed_skipped
13079,JR111107,Sr Tax Specialist,,,0,,malformed_skipped
13101,JR111734,IT Compliance & Product Security Analyst,,,0,,malformed_skipped
13217,JR100821,Project Manager - Technical Publications,119800.0,USD,1,range,filled
13288,JR9369,Program Manager,139200.0,USD,1,range,filled
13355,94840491744,"Lead, Project Engineer",181750.0,USD,1,range,filled
13380,95904350848,UI/UX Associate Engineer - Early Career,,,0,,malformed_skipped
13425,JR111098,Operations Supervisor- 1st Shift,,,0,,malformed_skipped
13458,7751691003,"Vice President, Program Management (SJ2026TN)",,,0,,malformed_skipped
13487,JR11105,"Reliability and Safety Engineer, Sr",121000.0,USD,1,range,filled
13694,121582,Training Standards Lead,141000.0,USD,1,range,filled
13857,JR12370,Metrology Lab Techinician,49920.0,USD,1,hourly_annualized,filled
13889,JR110400,Staff Manufacturing Special Process Engineer,,,0,,malformed_skipped
13898,JR11108,Senior Program Manager-Defense Solutions- Onsite Position,165350.0,USD,1,range,filled
13928,95350299088,Staff DevSecOps Engineer - Top Secret Clearance Required,,,0,,malformed_skipped
13975,7012,Data Scientist,159500.0,USD,1,range,filled
13989,JR101833,Regional Sales Manager,,,0,,malformed_skipped
14026,JR101908,Project Engineer,95550.0,USD,1,range,filled
14087,322646,Website & SharePoint Administrator,,,0,,malformed_skipped
14565,93200629280,Aircraft Maintenance Engineer - Avionics,121888.0,USD,1,hourly_annualized,filled
14636,JR11418,Quality Control Manager,118950.0,USD,1,range,filled
14638,JR2026504524,Supply Chain Management Analyst,99630.0,USD,2,range,filled
14657,95336248624,"Senior Associate, Electrical Engineering",115000.0,USD,1,range,filled
14713,JR111206,Marketing Analysis Manager II,,,0,,malformed_skipped
14810,JR101629,Contracts Manager,141500.0,USD,1,range,filled
14819,121355,Capture Manager,,,0,,malformed_skipped
14898,JR11534,Additive Manufacturing Engineer,97600.0,USD,1,range,filled
15042,JR2026514279,Associate Level Product Review Engineer (Liaison Engineering),100000.0,USD,1,range,filled
15152,JR11598,Software Developer-Embedded-Onsite Position,87300.0,USD,1,range,filled
15192,94567506800,"Lead, Electrical Engineer (Printed Circuit Board Design) 1",182000.0,USD,1,range,filled
15198,JR2026508389,Numerical Control Programmer - Machining/Tooling (Mid-level or Senior),130000.0,USD,2,range,filled
15267,JR110834,Data Governance Lead,,,0,,malformed_skipped
15315,JR111621,IT Client Services Manager,,,0,,malformed_skipped
15344,JR12014,Senior Product Manager - Valves,,,0,,malformed_skipped
15364,JR11317,"Systems Engineer, Lead",121000.0,USD,1,range,filled
15445,JR2026510583,Associate Manufacturing Engineer,93000.0,USD,1,range,filled
15463,94967636832,"Sr Specialist, Systems Engineer (Space Systems) - MBSE : Sign-on bonus ($20K max)",152000.0,USD,1,range,filled
15483,95967620224,"Manager, Mechanical Engineering(Sign-on bonus-$15k-$25k)",,,0,,malformed_skipped
15627,JR11818,Principal Software Test Engineer-Embedded-Defense Solutions,,,0,,malformed_skipped
15663,JR2026513886,Structures Technical Analyst (Associate and Mid-Level),74000.0,USD,2,range,filled
15765,322566,F-16 Aircraft Mechanic III,,,0,,malformed_skipped
15771,JR2026514226,Procurement Multi-fam Mgr (Sup Mgt&Prcrmnt Multi Fam),185250.0,USD,1,range,filled
15777,121159,Naval Business Development Manager,,,0,,malformed_skipped
15791,96310304160,"Supervisor, Manufacturing",,,0,,malformed_skipped
15819,JR2026506074,Mechanical & Structural Engineering Manager (K Level),173000.0,USD,1,range,filled
15823,96299162304,Inventory Management Support C,,,0,,malformed_skipped
15925,95304361264,"Senior Specialist, Systems Engineering - Requirements SME",,,0,,malformed_skipped
